text,label
"Great game everyone! GG!",0
"You're such a noob, uninstall the game",1
"Nice shot! That was amazing",0
"I hate you so much, go die",1
"Want to team up for the next match?",0
"You're garbage at this game",1
"Thanks for the help teammate!",0
"Kill yourself loser",1
"Good luck have fun!",0
"You're the worst player I've ever seen",1
"Let's coordinate our strategy",0
"Shut up idiot",1
"Well played! Close match",0
"I hope you lose every game forever",1
"Anyone want to practice together?",0
"You're so bad it's embarrassing",1
"Happy to be on this team!",0
"Get out of my game trash",1
"Nice teamwork everyone",0
"You suck so hard",1
"Looking forward to more games",0
"Stupid moron learn to play",1
"That was a fun round!",0
"I'll report you for being terrible",1
"Great communication team!",0
"You're a worthless piece of garbage",1
"Let's try a different approach next time",0
"Dumb idiot ruining the game",1
"Appreciate the support!",0
"Go back to easy mode noob",1

