text,label
nice save!!!,0
lol newb,1
nice teamwork :),0
smooth brain player!!!,1
unlucky!!,0
game is over!!!,1
next time!,0
positive energy :),0
nice teamwork <3,0
lol feed more,1
youre a liability lmao,1
free exp bruh,1
lol horrible teammate,1
omg why are you still here,1
SIT DOWN,1
happens to everyone,0
tough loss but gg!!,0
SPLIT UP,0
WE WILL GET THEM NEXT TIME,0
close match :),0
getting carried,1
reported lmao,1
stop playing!!!,1
smooth game :),0
you played well!!!,0
again,0
nice flank!!,0
getting carried bruh,1
amazing play!,0
DEADWEIGHT,1
good attitude <3,0
be useful for once!,1
omg horrible teammate,1
omg team diff,1
dominated!,1
its okay <3,0
omg quit the game,1
play a different game bruh,1
one more :),0
which site <3,0
hardstuck noob bruh,1
enjoyed that,0
enemy spotted <3,0
HOW ARE YOU THIS BAD,1
which site,0
really carrying us,1
WOW GREAT PLAY,1
play a different game!!!,1
embarrassing!!!,1
wp <3,0
good game!!!,0
youre so bad lmao,1
attack together :),0
youre useless bruh,1
just leave!,1
good try team!!,0
too easy!,1
STOP FEEDING,1
anchor lmao,1
griefer bruh,1
nice rotation <3,0
you are trash!,1
close match!!!,0
dumb teammate!!,1
play a different game!!,1
so helpful bruh,1
gl :),0
youre useless!!,1
toxic trash bruh,1
low iq plays!,1
lol just leave,1
go play something else lmao,1
reported bruh,1
scrub,1
quit gaming bruh,1
clutch play :),0
leave the game lmao,1
good game <3,0
potato aim!!!,1
just leave!!!,1
lol feeder,1
nice flank,0
solid defense,0
lets do this!,0
omg cant do anything right,1
omg gap,1
omg youre garbage,1
youre cracked :),0
YOURE A LIABILITY,1
earned that one,0
GLHF,0
enjoyed that!!!,0
perfect timing!,0
GREAT ROTATION,0
nice try,0
omg cant hit anything,1
moron bruh,1
everyone ready!,0
zero game sense!,1
nice feeding!!!,1
nice communication :),0
delete the game!,1
tumor on the team!,1
tumor on the team,1
defend here!,0
no brain lmao,1
omg nice feeding,1
shake it off <3,0
TERRIBLE PLAYER,1
jungle diff,1
tryhard loser!!,1
stop playing ranked!!,1
surrender vote bruh,1
ggwp!!,0
what strat :),0
did i ask,1
stupid player,1
stop playing,1
hf :),0
great teamwork :),0
stomp!,1
SOLID DEFENSE,0
amazing play :),0
fun game :),0
goated!,0
destroyed,1
walking gold bag,1
keep dying!,1
PLAYING WITH BOTS,1
braindead lmao,1
open mid!,1
kys bruh,1
dont give up <3,0
fun to play with!!!,0
what role!,0
youre garbage lmao,1
omg go touch grass,1
terrible player!!!,1
who wants to lead!,0
on my way,0
nice flank!,0
omg uninstall life,1
SO HELPFUL,1
easy target!,1
lol walking gold bag,1
get out of my game,1
all good!!,0
hard fought <3,0
omg jungle diff,1
good playing with you <3,0
youre a joke!!,1
LEARN TO PLAY,1
STOP PLAYING RANKED,1
on to the next <3,0
gg ez lmao,1
love this team <3,0
lol afk reported,1
go back to tutorial!!,1
rematch,0
goated!!!,0
free kill!!,1
well deserved win :),0
pathetic bruh,1
good game!,0
BRILLIANT STRATEGY,0
pathetic!!,1
worst aim ever bruh,1
clutch play!!!,0
noob!!,1
watch flank :),0
griefer!!,1
lol thanks for nothing,1
keep dying lmao,1
close match <3,0
ready check :),0
PATHETIC,1
uninstall the game,1
deaf player bruh,1
rematch <3,0
nice rotation,0
mvp :),0
stay down,1
youre garbage!!!,1
lol shut up,1
CANT DO ANYTHING RIGHT,1
dominated lmao,1
GG,0
i hate you!,1
TOUGH LOSS BUT GG,0
blind player lmao,1
dont give up,0
omg dont get up,1
doing so much damage!!!,1
not even close!!,1
we got this <3,0
clutch play <3,0
pathetic lmao,1
mid diff!!!,1
hf,0
stop playing bruh,1
so helpful,1
good game :),0
REPORTED,1
dont get up!!,1
WALKING GOLD BAG,1
carry performance!,0
lol always dying,1
so helpful!!!,1
lets play again <3,0
great vibes!!!,0
NICE SHOT GENIUS,1
support diff!,1
lol owned,1
bot player,1
omg uninstall the game,1
lol loser,1
clearly boosted!!!,1
hard fought,0
lol playing with bots,1
newb bruh,1
smooth brain player bruh,1
HOPE YOU LOSE EVERY GAME,1
omg youre a joke,1
shake it off!!,0
cant hit anything!!,1
good try team <3,0
stick to single player lmao,1
loser!,1
GOATED,0
one shot :),0
what strat!!,0
griefer!!!,1
tryhard loser!!!,1
hardstuck noob!,1
what role!!!,0
lol trolling,1
nice try!!,0
wow great play lmao,1
no brain bruh,1
omg low iq plays,1
keep it up!!,0
go back to tutorial lmao,1
worst player ever bruh,1
what role <3,0
gg go next bruh,1
toxic trash,1
lol wow great play,1
omg you suck,1
gl <3,0
playing with bots,1
lol reported,1
EASY TARGET,1
waste of a teammate!!,1
unlucky!!!,0
did i ask bruh,1
regroup,0
worst aim ever!!!,1
newb!,1
its okay,0
useless teammates!!,1
just end!!!,1
insane shot,0
NEED BACKUP,0
GREAT COMMUNICATION,0
stomp!!!,1
noob!!!,1
ggwp!,0
omg moron,1
my team is holding me back!,1
too easy,1
its okay!!,0
throwing the game!!,1
cringe player,1
stupid player bruh,1
GOOD PLAYING WITH YOU,0
who asked!!!,1
IMPRESSIVE GAMEPLAY THERE,1
stay positive :),0
doing so much damage,1
play a different game!,1
go touch grass lmao,1
nice shot genius!!,1
jungle diff!!,1
deaf player!!,1
